id,amount,description,card_type,date,time,bank,full_email,category,created_at
21,46.13,"PIZZERIA JACQUES CARTIER MONTREAL QC","CIBC-CC Credit",2024-07-08,,cibc_credit,"No email content","Fast Food","2025-02-21 15:40:15"
22,10.44,"MCDONALD'S #41226 LAVAL QC","CIBC-CC Credit",2024-07-08,,cibc_credit,"No email content","Fast Food","2025-02-21 15:40:15"
23,37.68,"Concept TOM Montreal MONTREAL QC","CIBC-CC Credit",2024-07-08,,cibc_credit,"No email content","Fast Food","2025-02-21 15:40:15"
24,1.14,"APPLE.COM/BILL 866-712-7753 ON","CIBC-CC Credit",2024-07-12,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
25,27.59,"ADONIS 21944 LAVAL EST LAVAL QC","CIBC-CC Credit",2024-07-12,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
26,11.49,"Amazon.ca Prime Member amazon.ca/priBC","CIBC-CC Credit",2024-07-12,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
27,18.0,"JOE'S PANINI MONTREAL QC","CIBC-CC Credit",2024-07-15,,cibc_credit,"No email content","Fast Food","2025-02-21 15:40:15"
28,23.0,"AMZN Mktp CA*RY57U3Y92 WWW.AMAZON.CAON","CIBC-CC Credit",2024-07-15,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
29,39.18,"MAXI #8634 LAVAL QC","CIBC-CC Credit",2024-07-16,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
30,42.92,"MAXI #8634 LAVAL QC","CIBC-CC Credit",2024-07-16,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
31,42.01,"AMZN Mktp CA*RS25Y28U2 WWW.AMAZON.CAON","CIBC-CC Credit",2024-07-19,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
32,57.48,"APPLE.COM/BILL 866-712-7753 ON","CIBC-CC Credit",2024-07-22,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
33,132.16,"ADONIS 21944 LAVAL EST LAVAL QC","CIBC-CC Credit",2024-07-22,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
34,17.23,"AMZN Mktp CA*RJ34B7UB1 WWW.AMAZON.CAON","CIBC-CC Credit",2024-07-26,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
35,27.58,"AMZN Mktp CA*RV7DM3TY2 WWW.AMAZON.CAON","CIBC-CC Credit",2024-07-29,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
36,38.83,"AMZN Mktp CA*RV4EY9MW2 WWW.AMAZON.CAON","CIBC-CC Credit",2024-07-29,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
37,39.08,"L'IMAGINAIRE QUEBEC QC","CIBC-CC Credit",2024-09-09,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
38,11.04,"KORYO KOREAN BARBEQUE LAVAL QC","CIBC-CC Credit",2024-09-09,,cibc_credit,"No email content","Fast Food","2025-02-21 15:40:15"
39,11.49,"Amazon.ca Prime Member amazon.ca/priBC","CIBC-CC Credit",2024-09-12,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
40,5.98,"AMZN Mktp CA*P206K8IU3 WWW.AMAZON.CAON","CIBC-CC Credit",2024-09-16,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
41,57.48,"APPLE.COM/BILL TORONTO ON","CIBC-CC Credit",2024-09-20,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
42,16.71,"VAN HOUTTE LAVAL QC","CIBC-CC Credit",2024-09-23,,cibc_credit,"No email content","Fast Food","2025-02-21 15:40:15"
43,160.05,"Amazon.ca*A70EI4ZJ3 AMAZON.CA ON","CIBC-CC Credit",2024-09-24,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
44,18.7,"MCDONALD'S #41226 LAVAL QC","CIBC-CC Credit",2024-09-26,,cibc_credit,"No email content","Fast Food","2025-02-21 15:40:15"
45,33.77,"MAXI #8634 LAVAL QC","CIBC-CC Credit",2024-10-02,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
46,25.98,"MAXI #8634 LAVAL QC","CIBC-CC Credit",2024-10-03,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
47,66.11,"TOM-Americas BBQ Montreal QC","CIBC-CC Credit",2024-10-15,,cibc_credit,"No email content","Fast Food","2025-02-21 15:40:15"
48,11.49,"Amazon.ca Prime Member amazon.ca/priBC","CIBC-CC Credit",2024-10-15,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
49,27.8,"MCDONALD'S #41226 LAVAL QC","CIBC-CC Credit",2024-10-17,,cibc_credit,"No email content","Fast Food","2025-02-21 15:40:15"
50,17.19,"Audible CA*2741L5503 Amzn.com/billNJ","CIBC-CC Credit",2024-10-21,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
51,57.48,"APPLE.COM/BILL 866-712-7753 ON","CIBC-CC Credit",2024-10-21,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
52,10.0,"COLLEGE MONTMORENCY LAVAL QC","CIBC-CC Credit",2024-10-22,,cibc_credit,"No email content",Education,"2025-02-21 15:40:15"
53,10.2,"COUCHE-TARD #1214 BROSSARD QC","CIBC-CC Credit",2024-10-22,,cibc_credit,"No email content",Transport,"2025-02-21 15:40:15"
54,40.0,"COUCHE-TARD #1214 BROSSARD QC","CIBC-CC Credit",2024-10-23,,cibc_credit,"No email content",Transport,"2025-02-21 15:40:15"
55,57.48,"AMZN Mktp CA*JN68X9EJ3 WWW.AMAZON.CAON","CIBC-CC Credit",2024-10-24,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
56,43.82,"Amazon.ca*U83W475P3 AMAZON.CA ON","CIBC-CC Credit",2024-10-26,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
57,86.42,"WAL-MART SUPERCENTER#3047 LAVAL","CIBC-CC Credit",2024-10-27,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
58,9.19,"STEAMGAMES.COM 4259522985912-1844160 WA","CIBC-CC Credit",2024-10-29,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
59,22.98,"MAXI #8634 LAVAL QC","CIBC-CC Credit",2024-10-31,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
60,34.47,"AMZN Mktp CA*8D75C9V33 WWW.AMAZON.CAON","CIBC-CC Credit",2024-11-01,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
61,7.0,"COLLEGE MONTMORENCY LAVAL QC","CIBC-CC Credit",2024-11-04,,cibc_credit,"No email content",Education,"2025-02-21 15:40:15"
62,98.32,"AMAZON MKTPL*GD7N530Z3 Amzn.com/billON","CIBC-CC Credit",2024-11-12,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
63,146.11,"Amazon.ca*B17AO3B13 AMAZON.CA ON","CIBC-CC Credit",2024-11-12,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
64,22.98,"AMZN Mktp CA*Z9R754B3 WWW.AMAZON.CAON","CIBC-CC Credit",2024-11-12,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
65,11.49,"Amazon.ca Prime Member amazon.ca/priBC","CIBC-CC Credit",2024-11-12,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
66,95.79,"WAL-MART SUPERCENTER#3656MONTREAL-NORDQC","CIBC-CC Credit",2024-11-15,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
67,17.19,"Audible CA*XM2RH5I53 Amzn.com/billNJ","CIBC-CC Credit",2024-11-19,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
68,57.48,"APPLE.COM/BILL 866-712-7753 ON","CIBC-CC Credit",2024-11-19,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
69,30.0,"H GREGOIRE ST LEONARD SAINT-LEONARDQC","CIBC-CC Credit",2024-11-25,,cibc_credit,"No email content",Transport,"2025-02-21 15:40:15"
70,28.12,"MCDONALD'S #40327 SAINT-LEONARDQC","CIBC-CC Credit",2024-11-25,,cibc_credit,"No email content","Fast Food","2025-02-21 15:40:15"
71,8.07,"DEPANNEUR ULTRA LAVAL QC","CIBC-CC Credit",2024-11-25,,cibc_credit,"No email content"," Convenience","2025-02-21 15:40:15"
72,28.71,"MAXI #8634 LAVAL QC","CIBC-CC Credit",2024-11-25,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
73,40.0,"PETRO CANADA12739 DORVAL QC","CIBC-CC Credit",2024-11-26,,cibc_credit,"No email content",Transport,"2025-02-21 15:40:15"
74,194.31,"AMZN Mktp CA*Z38M130T0 WWW.AMAZON.CAON","CIBC-CC Credit",2024-11-27,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
75,79.33,"AMZN Mktp CA*Z34Z370R0 WWW.AMAZON.CAON","CIBC-CC Credit",2024-11-27,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
76,9.93,"STEAM PURCHASE SEATTLE","CIBC-CC Credit",2024-11-29,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
77,48.84,"AMZN Mktp CA*Z35Q736O1 WWW.AMAZON.CAON","CIBC-CC Credit",2024-12-01,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
78,11.49,"Amazon.ca Prime Member amazon.ca/priBC","CIBC-CC Credit",2024-12-12,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
79,17.19,"Audible CA*Z15YE5970 Amzn.com/billNJ","CIBC-CC Credit",2024-12-19,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
80,42.05,"AMZN Mktp CA*ZE7916762 WWW.AMAZON.CAON","CIBC-CC Credit",2024-12-26,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
81,9.19,"STEAM PURCHASE SEATTLE","CIBC-CC Credit",2024-12-26,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
82,32.98,"FAMOUS PLAYER 9401QPS MONTREAL QC","CIBC-CC Credit",2024-12-30,,cibc_credit,"No email content",Entertainment,"2025-02-21 15:40:15"
83,17.5,"TIM HORTONS #0133 LAVAL QC","CIBC-CC Credit",2024-12-30,,cibc_credit,"No email content","Fast Food","2025-02-21 15:40:15"
84,19.55,"DEPANNEUR ANGI LAVAL QC","CIBC-CC Credit",2024-12-28,,cibc_credit,"No email content"," Convenience","2025-02-21 15:40:15"
85,23.21,"SPICE BROS PLACEBELL LAVAL QC","CIBC-CC Credit",2024-12-30,,cibc_credit,"No email content","Fast Food","2025-02-21 15:40:15"
86,15.7,"MAXI #8634 LAVAL QC","CIBC-CC Credit",2024-12-31,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
87,26.43,"AMZN Mktp CA*ZD8W586F2 WWW.AMAZON.CAON","CIBC-CC Credit",2025-01-06,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
88,8.24,"Amazon.ca*ZP5GI1B11 AMAZON.CA ON","CIBC-CC Credit",2025-01-07,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
89,3.21,"GOOGLE *Google","Visa Debit",2024-01-03,,cibc_debit,"No email content",Subscription,"2025-02-21 15:40:25"
90,18.8,"TIM HORTONS #55","Visa Debit",2024-01-03,,cibc_debit,"No email content","Fast Food","2025-02-21 15:40:25"
91,11.49,"GOOGLE *Ellatio","Visa Debit",2024-01-04,,cibc_debit,"No email content",Subscription,"2025-02-21 15:40:25"
92,279.08,"LE MARCHE DU ST","Visa Debit",2024-01-05,,cibc_debit,"No email content","Home Improvement","2025-02-21 15:40:25"
93,31.92,"Fast Food ALI","Visa Debit",2024-01-05,,cibc_debit,"No email content","Fast Food","2025-02-21 15:40:25"
94,9.19,"LA CREMIERE LC","Visa Debit",2024-01-08,,cibc_debit,"No email content","Fast Food","2025-02-21 15:40:25"
95,1.67,"INTL VISA DEB RETAIL PURCHASE THE ATHLETIC","Visa Debit",2024-01-08,,cibc_debit,"No email content",Subscription,"2025-02-21 15:40:25"
96,6.73,"INTL VISA DEB RETAIL PURCHASE EXTENSION MOBIL","Visa Debit",2024-01-10,,cibc_debit,"No email content",Subscription,"2025-02-21 15:40:25"
97,195.68,"VISA DEBIT RETAIL PURCHASE Sendwave","Visa Debit",2024-01-15,,cibc_debit,"No email content",Transfer,"2025-02-21 15:40:25"
98,30.0,"E-Transfers One-time contact",CIBC,2024-01-15,,cibc_debit,"No email content",Transfer,"2025-02-21 15:40:25"
99,24.81,"INTL VISA DEB RETAIL PURCHASE NETFLIX","Visa Debit",2024-01-16,,cibc_debit,"No email content",Subscription,"2025-02-21 15:40:25"
100,100.64,"VISA DEBIT RETAIL PURCHASE VIRGIN PLUS","Visa Debit",2024-01-17,,cibc_debit,"No email content",Telecommunications,"2025-02-21 15:40:25"
101,231.2,"RETAIL PURCHASE WALMART STORE",CIBC,2024-01-18,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
102,24.77,"RETAIL PURCHASE KORYO KOREAN BA",CIBC,2024-01-18,,cibc_debit,"No email content","Fast Food","2025-02-21 15:40:25"
103,40.0,"RETAIL PURCHASE COUCHETARD #186",CIBC,2024-01-19,,cibc_debit,"No email content",Transport,"2025-02-21 15:40:25"
104,150.0,"E-Transfers ",CIBC,2024-01-19,,cibc_debit,"No email content",Transfer,"2025-02-21 15:40:25"
105,56.86,"RETAIL PURCHASE MAXI #8634",CIBC,2024-01-22,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
106,110.0,"E-Transfers Youlahia",CIBC,2024-01-22,,cibc_debit,"No email content","Home Improvement","2025-02-21 15:40:25"
107,14.94,"INTL VISA DEB RETAIL PURCHASE Scribd *6164249","Visa Debit",2024-01-24,,cibc_debit,"No email content",Subscription,"2025-02-21 15:40:25"
108,60.0,"E-Transfers Cyndi",CIBC,2024-01-29,,cibc_debit,"No email content",Transfer,"2025-02-21 15:40:25"
109,42.71,"RETAIL PURCHASE MAXI #8634",CIBC,2024-01-29,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
110,9.19,"VISA DEBIT RETAIL PURCHASE GOOGLE *Smart I","Visa Debit",2024-01-29,,cibc_debit,"No email content",Subscription,"2025-02-21 15:40:25"
111,40.0,"RETAIL PURCHASE SHELL C12656",CIBC,2024-01-29,,cibc_debit,"No email content",Transport,"2025-02-21 15:40:25"
112,1200.0,"E-Transfers Loyer",CIBC,2024-01-30,,cibc_debit,"No email content",Rent,"2025-02-21 15:40:25"
113,114.02,"VISA DEBIT RETAIL PURCHASE Sendwave","Visa Debit",2024-01-31,,cibc_debit,"No email content",Transfer,"2025-02-21 15:40:25"
114,16.95,"SERVICE CHARGE CAPPED MONTHLY FEES",CIBC,2024-01-31,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
115,72.86,"RETAIL PURCHASE 001001001859 MAXI #8634",CIBC,2024-02-01,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
116,3.21,"VISA DEBIT RETAIL PURCHASE GOOGLE *Google 403317063671",CIBC,2024-02-02,,cibc_debit,"No email content",Subscription,"2025-02-21 15:40:25"
117,50.0,"INTL VISA DEB RETAIL PURCHASE BET365 403419901231",CIBC,2024-02-05,,cibc_debit,"No email content",Entertainment,"2025-02-21 15:40:25"
118,15.86,"RETAIL PURCHASE 403418270246 MCDONALD'S #498",CIBC,2024-02-05,,cibc_debit,"No email content","Fast Food","2025-02-21 15:40:25"
119,11.49,"VISA DEBIT RETAIL PURCHASE GOOGLE *Ellatio 403517610436",CIBC,2024-02-05,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
120,14.0,"E-Transfers 104873867886 Madame Awa Diop",CIBC,2024-02-05,,cibc_debit,"No email content",Shopping,"2025-02-21 15:40:25"
121,65.0,"E-Transfers 104874588784 Méline Mezillien",CIBC,2024-02-05,,cibc_debit,"No email content",Transfer,"2025-02-21 15:40:25"
122,20.0,"VISA DEBIT RETAIL PURCHASE KOHO FINANCIAL 403605133990",CIBC,2024-02-05,,cibc_debit,"No email content",Shopping,"2025-02-21 15:40:25"
123,110.0,"E-Transfers 104875640588 Youlahia",CIBC,2024-02-06,,cibc_debit,"No email content","Home Improvement","2025-02-21 15:40:25"
124,60.0,"VISA DEBIT RETAIL PURCHASE Sendwave 403704114493",CIBC,2024-02-06,,cibc_debit,"No email content",Transfer,"2025-02-21 15:40:25"
125,1.67,"INTL VISA DEB RETAIL PURCHASE THE ATHLETIC 403800326850",CIBC,2024-02-07,,cibc_debit,"No email content",Entertainment,"2025-02-21 15:40:25"
126,73.43,"RETAIL PURCHASE 001001001444 MAXI #8634",CIBC,2024-02-07,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
127,6.9,"RETAIL PURCHASE 001001001380 MAXI #8634",CIBC,2024-02-08,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
128,14.94,"VISA DEBIT RETAIL PURCHASE GOOGLE *Fitbit 403910622224",CIBC,2024-02-08,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
129,6.78,"INTL VISA DEB RETAIL PURCHASE EXTENSION MOBIL 404023815527",CIBC,2024-02-12,,cibc_debit,"No email content",Transport,"2025-02-21 15:40:25"
130,57.39,"RETAIL PURCHASE A8J1TBIY0000 Uniqlo Canada",CIBC,2024-02-12,,cibc_debit,"No email content",Shopping,"2025-02-21 15:40:25"
131,25.44,"RETAIL PURCHASE 404020321184 KORYO KOREAN BA",CIBC,2024-02-12,,cibc_debit,"No email content","Fast Food","2025-02-21 15:40:25"
132,40.0,"RETAIL PURCHASE 000001426008 ESSO MARTIN E L",CIBC,2024-02-12,,cibc_debit,"No email content",Transport,"2025-02-21 15:40:25"
133,7.26,"RETAIL PURCHASE 404011327586 TIM HORTONS #59",CIBC,2024-02-12,,cibc_debit,"No email content","Fast Food","2025-02-21 15:40:25"
134,150.0,"RETAIL PURCHASE 000019028054 CANISPA TOILETT",CIBC,2024-02-12,,cibc_debit,"No email content",Vet,"2025-02-21 15:40:25"
135,21.08,"RETAIL PURCHASE 001001001821 MAXI #8634",CIBC,2024-02-12,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
136,19.83,"RETAIL PURCHASE 990958580213 Fast Food ALI",CIBC,2024-02-13,,cibc_debit,"No email content","Fast Food","2025-02-21 15:40:25"
137,41.57,"RETAIL PURCHASE 001001001142 MAXI #8634",CIBC,2024-02-14,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
138,68.47,"VISA DEBIT RETAIL PURCHASE Sendwave 404917889502",CIBC,2024-02-19,,cibc_debit,"No email content",Transfer,"2025-02-21 15:40:25"
139,70.97,"RETAIL PURCHASE 001001001645 MAXI #8634",CIBC,2024-02-19,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
140,63.84,"VISA DEBIT RETAIL PURCHASE VIRGIN PLUS 405010365906",CIBC,2024-02-19,,cibc_debit,"No email content",Telecommunications,"2025-02-21 15:40:25"
141,14.94,"INTL VISA DEB RETAIL PURCHASE Scribd *6164249 405513688570",CIBC,2024-02-26,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
142,240.0,"VISA DEBIT RETAIL PURCHASE Sendwave 405703880824",CIBC,2024-02-26,,cibc_debit,"No email content",Transfer,"2025-02-21 15:40:25"
143,16.95,"SERVICE CHARGE CAPPED MONTHLY FEES RECORD-KEEPING",CIBC,2024-02-29,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
144,1220.0,"E-Transfers 104902982643 Loyer",CIBC,2024-02-29,,cibc_debit,"No email content",Rent,"2025-02-21 15:40:25"
145,32.4,"RETAIL PURCHASE 339001001012 BOUCHERIE ET GR",CIBC,2024-03-01,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
146,3.21,"VISA DEBIT RETAIL PURCHASE GOOGLE *Google 406275903052",CIBC,2024-03-04,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
147,108.42,"RETAIL PURCHASE 406317410152 CERAMIC CAFE ST",CIBC,2024-03-04,,cibc_debit,"No email content",Entertainment,"2025-02-21 15:40:25"
148,11.49,"VISA DEBIT RETAIL PURCHASE GOOGLE *Ellatio 406476457539",CIBC,2024-03-04,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
149,50.0,"E-Transfers 104907565588 sokhna sofia",CIBC,2024-03-04,,cibc_debit,"No email content",Miscellaneous,"2025-02-21 15:40:25"
150,9.19,"VISA DEBIT RETAIL PURCHASE GOOGLE *TV 406675134791",CIBC,2024-03-06,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
151,110.0,"E-Transfers 104909363018 Youlahia",CIBC,2024-03-06,,cibc_debit,"No email content","Home Improvement","2025-02-21 15:40:25"
152,1.67,"INTL VISA DEB RETAIL PURCHASE THE ATHLETIC 40670483998",CIBC,2024-03-07,,cibc_debit,"No email content",Subscription,"2025-02-21 15:40:25"
153,105.22,"RETAIL PURCHASE 001001001503 MAXI #8634",CIBC,2024-03-07,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
154,30.5,"RETAIL PURCHASE 001001001504 MAXI #8634",CIBC,2024-03-07,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
155,14.94,"VISA DEBIT RETAIL PURCHASE GOOGLE *Fitbit 406717837018",CIBC,2024-03-07,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
156,22.98,"RETAIL PURCHASE 275125947423 SQ *KORYO KOREA",CIBC,2024-03-11,,cibc_debit,"No email content","Fast Food","2025-02-21 15:40:25"
157,10.85,"RETAIL PURCHASE 406916212752 JOE'S PANINI",CIBC,2024-03-11,,cibc_debit,"No email content","Fast Food","2025-02-21 15:40:25"
158,6.79,"INTL VISA DEB RETAIL PURCHASE EXTENSION MOBIL 406923550103",CIBC,2024-03-11,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
159,12.0,"RETAIL PURCHASE 406921347535 COMPAGNIE SB-MO",CIBC,2024-03-11,,cibc_debit,"No email content",Shopping,"2025-02-21 15:40:25"
160,185.36,"VISA DEBIT RETAIL PURCHASE Sendwave 407023559067",CIBC,2024-03-11,,cibc_debit,"No email content",Transfer,"2025-02-21 15:40:25"
161,253.69,"RETAIL PURCHASE 001001001807 MAXI #8634",CIBC,2024-03-18,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
162,6.99,"RETAIL PURCHASE 001001001564 MAXI #8634",CIBC,2024-03-18,,cibc_debit,"No email content",Groceries,"2025-02-21 15:40:25"
163,23.0,"INTL VISA DEB RETAIL PURCHASE FIGMA MONTHLY R 407803401115",CIBC,2024-03-18,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
164,115.58,"VISA DEBIT RETAIL PURCHASE VIRGIN PLUS 407810413542",CIBC,2024-03-18,,cibc_debit,"No email content",Telecommunications,"2025-02-21 15:40:25"
165,30.54,"VISA DEBIT RETAIL PURCHASE TEMU.COM 407902701291",CIBC,2024-03-19,,cibc_debit,"No email content",Shopping,"2025-02-21 15:40:25"
166,60.0,"RETAIL PURCHASE 000001333023 ESSO MARTIN O L",CIBC,2024-03-20,,cibc_debit,"No email content",Transport,"2025-02-21 15:40:25"
167,110.0,"E-Transfers 104925144980 Youlahia",CIBC,2024-03-20,,cibc_debit,"No email content","Home Improvement","2025-02-21 15:40:25"
168,14.94,"INTL VISA DEB RETAIL PURCHASE Scribd *6164249 408413420384",CIBC,2024-03-25,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
169,71.69,"VISA DEBIT RETAIL PURCHASE Sendwave 408520220313",CIBC,2024-03-25,,cibc_debit,"No email content",Transfer,"2025-02-21 15:40:25"
170,100.0,"VISA DEBIT RETAIL PURCHASE KOHO FINANCIAL 408712027846",CIBC,2024-03-27,,cibc_debit,"No email content",Miscellaneous,"2025-02-21 15:40:25"
171,22.4,"INTL VISA DEB RETAIL PURCHASE ReBOUND Returns 408721232410",CIBC,2024-03-27,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
172,16.95,"SERVICE CHARGE CAPPED MONTHLY FEES RECORD-KEEPING N/A",CIBC,2024-03-28,,cibc_debit,"No email content",Services,"2025-02-21 15:40:25"
